Epoch 72: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1453.24it/s]
Epoch 73: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1423.96it/s]
Epoch 74: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1447.57it/s]
Epoch 75: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1429.38it/s]
Epoch 76: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1419.31it/s]
Epoch 77: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1082.88it/s]
Epoch 78: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1010.69it/s]
Epoch 79: 100%|████████████████████████████████| 17/17 [00:00<00:00, 955.38it/s]
Epoch 80: 100%|████████████████████████████████| 17/17 [00:00<00:00, 958.99it/s]
Epoch 81: 100%|████████████████████████████████| 17/17 [00:00<00:00, 986.84it/s]
Epoch 82: 100%|████████████████████████████████| 17/17 [00:00<00:00, 895.08it/s]
Epoch 83: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1081.65it/s]
Epoch 84: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1082.55it/s]
Epoch 85: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1370.92it/s]
Epoch 86: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1503.97it/s]
Epoch 87: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1484.00it/s]
Epoch 88: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1467.81it/s]
Epoch 89: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1262.41it/s]
Epoch 90: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1213.34it/s]
Epoch 91: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1359.55it/s]
Epoch 92: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1369.13it/s]
Epoch 93: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1375.58it/s]
Epoch 94: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1277.29it/s]
Epoch 95: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1295.22it/s]
Epoch 96: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1331.50it/s]
Epoch 97: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1289.13it/s]
Epoch 98: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1286.09it/s]
Epoch 99: 100%|███████████████████████████████| 17/17 [00:00<00:00, 1087.77it/s]
